"","V1","V2","V3","V4"
"1",0.618703806120099,0.631997166066698,0.0132933599465993,0
"2",0.607629645776519,0.621389936778633,0.013760291002114,1
"3",0.608608300573427,0.622251896597708,0.0136435960242806,1
"4",0.602751276051888,0.616581678253012,0.0138304022011236,1
"5",0.606980423452337,0.620693398106621,0.0137129746542839,1
"6",0.608947366284729,0.622358351259551,0.0134109849748216,1
"7",0.598033899725289,0.61171475564531,0.0136808559200207,0
"8",0.606110700637557,0.619817621538367,0.0137069209008096,1
"9",0.605664658367388,0.619320849873982,0.0136561915065943,1
"10",0.610028182864372,0.62332444015024,0.0132962572858679,1
"11",0.601206256170138,0.616057477112977,0.0148512209428392,1
"12",0.608376669111174,0.622066551119866,0.0136898820086919,1
"13",0.608031363891555,0.621888595396552,0.0138572315049978,1
"14",0.610418923369142,0.624061305074182,0.0136423817050404,1
"15",0.60668837425119,0.620704740611134,0.0140163663599434,1
"16",0.604829528902048,0.619885963304727,0.0150564344026788,1
"17",0.60255439819098,0.61647690407936,0.0139225058883793,1
"18",0.607535843694254,0.621918902667195,0.0143830589729403,1
"19",0.60473488030056,0.618427306216434,0.0136924259158736,1
"20",0.612919683366373,0.625877983142169,0.0129582997757965,1
"21",0.606573333741813,0.619926409710533,0.0133530759687208,1
"22",0.605190276396408,0.618300054956331,0.013109778559923,1
"23",0.606014810989639,0.62021385557464,0.0141990445850017,1
"24",0.606126926756847,0.619953418019893,0.0138264912630458,1
"25",0.609243070818598,0.623134393097396,0.0138913222787977,1
"26",0.608659177590166,0.6222137022408,0.013554524650634,1
"27",0.605019987085019,0.618113207794054,0.0130932207090346,1
"28",0.610604236725444,0.623886667584201,0.0132824308587577,1
"29",0.605875267992578,0.619448209137911,0.013572941145333,1
"30",0.605004384979997,0.619392927361695,0.0143885423816981,1
"31",0.604941400039596,0.618898961669208,0.0139575616296121,1
"32",0.607716850630208,0.621360211584917,0.0136433609547093,1
"33",0.609523152595606,0.623490610146034,0.0139674575504281,1
"34",0.600031243898874,0.613211136980456,0.0131798930815822,1
"35",0.606778916505678,0.620232075486437,0.0134531589807585,1
"36",0.609450033479679,0.623466881684449,0.0140168482047704,1
"37",0.599314674461706,0.613708228059731,0.014393553598025,1
"38",0.603669463719997,0.617547643711528,0.0138781799915315,1
"39",0.610056290837783,0.623361138770802,0.0133048479330194,1
"40",0.603394857519509,0.619893106476748,0.0164982489572392,1
"41",0.613217404348466,0.626946657690935,0.0137292533424693,0
"42",0.608982000357669,0.623237925058656,0.0142559247009867,1
"43",0.599839465120746,0.614176306399476,0.0143368412787299,1
"44",0.606537272038695,0.620075157735336,0.0135378856966413,1
"45",0.61381996616602,0.627325824573146,0.0135058584071265,0
"46",0.612147199891769,0.625373916936481,0.0132267170447113,1
"47",0.609855161470086,0.623409513465339,0.0135543519952533,1
"48",0.61684877682588,0.629396017049093,0.0125472402232124,0
"49",0.610384823279378,0.623482458934762,0.0130976356553834,1
"50",0.608526622621025,0.62246855186491,0.0139419292438855,1
"51",0.603623049827536,0.617207692441295,0.013584642613759,1
"52",0.603235481379209,0.617083581890569,0.0138481005113607,1
"53",0.60438039171747,0.619008893799058,0.0146285020815883,1
"54",0.60940462365338,0.623219758977546,0.013815135324166,1
"55",0.614791481706216,0.627368873549307,0.0125773918430918,0
"56",0.604401272880265,0.61838393518763,0.0139826623073641,1
"57",0.615895881320687,0.629231522614236,0.0133356412935491,0
"58",0.606478403076697,0.620652516558103,0.0141741134814057,1
"59",0.609692744446514,0.62350849282898,0.0138157483824659,1
"60",0.605753557210853,0.620669870101062,0.014916312890209,1
