"","Izq","Der","longitud","exito"
"1",0.610945715974134,0.618944550984153,0.00799883501001819,1
"2",0.613483448008615,0.621756831760448,0.00827338375183218,0
"3",0.605540784164167,0.61432007277298,0.00877928860881327,1
"4",0.608561865704644,0.616862899630209,0.00830103392556492,1
"5",0.607208433005279,0.615692249770124,0.00848381676484522,1
"6",0.611299155104961,0.619393798935214,0.00809464383025293,1
"7",0.604563401202255,0.613319280425486,0.00875587922323007,1
"8",0.60712108696847,0.615912655112892,0.00879156814442139,1
"9",0.606831653238686,0.615329094724789,0.00849744148610265,1
"10",0.608528424581485,0.617106865512544,0.00857844093105908,1
"11",0.609823700367799,0.61843332688427,0.00860962651647057,1
"12",0.610619939606747,0.618898470140635,0.00827853053388772,1
"13",0.606858831435764,0.615062612467403,0.00820378103163899,1
"14",0.610973628060022,0.618936389218229,0.00796276115820682,1
"15",0.609758369016189,0.61847401562003,0.00871564660384139,1
"16",0.607278867409361,0.616037410099203,0.00875854268984144,1
"17",0.609672480335933,0.617961324917038,0.00828884458110479,1
"18",0.607034280549616,0.616208002069061,0.00917372151944496,1
"19",0.61061781704564,0.618893414402534,0.00827559735689354,1
"20",0.60715299930142,0.615624617948825,0.00847161864740476,1
"21",0.607467982939052,0.616232898720887,0.0087649157818358,1
"22",0.609005747125331,0.617431025074453,0.00842527794912196,1
"23",0.611581612944964,0.619813261068532,0.00823164812356791,1
"24",0.605095870382792,0.613815115970032,0.00871924558724002,1
"25",0.609102365490452,0.617428542495221,0.00832617700476812,1
"26",0.611557084265506,0.619383473096258,0.0078263888307516,1
"27",0.60555290940157,0.614253349830474,0.00870044042890383,1
"28",0.607626603074528,0.616085370846423,0.00845876777189514,1
"29",0.609280732460681,0.617767772462504,0.00848704000182354,1
"30",0.611159244666244,0.619686909239076,0.00852766457283205,1
"31",0.609192341516455,0.617465978711143,0.0082736371946881,1
"32",0.608476059794712,0.61677922563798,0.00830316584326807,1
"33",0.604861576719247,0.613182925861161,0.00832134914191474,1
"34",0.611537243306649,0.620368565151422,0.00883132184477298,1
"35",0.605685905655991,0.614485740804279,0.0087998351482883,1
"36",0.608174323496109,0.616824245378577,0.00864992188246771,1
"37",0.610429008202446,0.618640712616422,0.00821170441397545,1
"38",0.609700144660126,0.61804084041447,0.00834069575434393,1
"39",0.60774098586633,0.616345013422755,0.00860402755642542,1
"40",0.604913236820377,0.613978125499891,0.00906488867951372,1
"41",0.610124346813637,0.61872434888027,0.00860000206663314,1
"42",0.609742784343026,0.618226561962353,0.00848377761932695,1
"43",0.609364624643232,0.617916898085413,0.00855227344218035,1
"44",0.608123863703788,0.616782673767516,0.00865881006372815,1
"45",0.611235018776016,0.619744729801132,0.008509711025116,1
"46",0.609577736669699,0.617537166400909,0.00795942973120978,1
"47",0.610391692511512,0.61862552785789,0.00823383534637812,1
"48",0.608963705126217,0.617394478399468,0.00843077327325081,1
"49",0.608034139565783,0.616456472178506,0.00842233261272329,1
"50",0.609890426885618,0.61782694968493,0.00793652279931212,1
"51",0.608437973254714,0.616834328441115,0.00839635518640036,1
"52",0.612496708554481,0.620553999558291,0.00805729100381003,1
"53",0.612742781369493,0.621054893995114,0.0083121126256207,1
"54",0.60770427737898,0.616023971106643,0.00831969372766284,1
"55",0.612224813552817,0.620419448252357,0.0081946346995404,1
"56",0.608734806235694,0.616905371441834,0.00817056520613957,1
"57",0.609033848880053,0.617997601106957,0.00896375222690349,1
"58",0.608278505426698,0.616466892632828,0.00818838720613035,1
"59",0.609724817418501,0.617847032686639,0.00812221526813794,1
"60",0.602332803907763,0.610985871442768,0.00865306753500494,0
"61",0.609154890858665,0.61772714930992,0.00857225845125498,1
"62",0.609367848100788,0.61762340013817,0.0082555520373826,1
"63",0.608860081592164,0.617429458200039,0.00856937660787516,1
"64",0.611561074354564,0.620256525689725,0.00869545133516147,1
"65",0.612034331060517,0.619916349509192,0.0078820184486752,1
"66",0.606191213289683,0.615056327400014,0.00886511411033108,1
"67",0.608872119446332,0.617668253918711,0.0087961344723787,1
"68",0.606321423747177,0.614599717050173,0.00827829330299557,1
"69",0.608065142995265,0.616725117325147,0.00865997432988141,1
"70",0.608303355010248,0.616504388251195,0.00820103324094756,1
"71",0.608060382606044,0.616498786386883,0.00843840378083915,1
"72",0.609626503606401,0.617824386705214,0.00819788309881264,1
"73",0.609242793776093,0.61746217963717,0.00821938586107696,1
"74",0.607765412395107,0.616315297193093,0.00854988479798602,1
"75",0.611706712798501,0.619902582260001,0.00819586946149942,1
"76",0.608062156382574,0.61648482026987,0.00842266388729584,1
"77",0.607968135324562,0.61591293919139,0.00794480386682817,1
"78",0.609723191744371,0.618218481401318,0.00849528965694701,1
"79",0.609091353014842,0.617503456969847,0.00841210395500491,1
"80",0.60970804394876,0.617622876734846,0.00791483278608629,1
"81",0.608899829910386,0.617368625401554,0.00846879549116741,1
"82",0.611159866720489,0.619310405751949,0.00815053903145957,1
"83",0.609253014066016,0.618108951595564,0.00885593752954805,1
"84",0.608909607518359,0.617418524284782,0.00850891676642329,1
"85",0.61074353117965,0.618974221399236,0.00823069021958645,1
"86",0.607704517011999,0.616344781890684,0.00864026487868486,1
"87",0.605073697344553,0.613340774648362,0.00826707730380905,1
"88",0.606443768844264,0.615152065070641,0.0087082962263777,1
"89",0.610664077006113,0.619174398409315,0.00851032140320207,1
"90",0.608700856884724,0.617105089981653,0.00840423309692906,1
"91",0.609939768215879,0.618221380926975,0.00828161271109673,1
"92",0.608154576079749,0.616249731372723,0.00809515529297433,1
