Izq,Der,varianzaBoots,longitud,exito
0.2712398569612307,0.2904471595302039,3.408931313019978e-5,0.019207302568973184,1
0.2717001907539307,0.29298236039999415,4.1852104071569943e-5,0.021282169646063442,1
0.27106256569276066,0.28660448325931354,2.2320026063514695e-5,0.015541917566552876,1
0.27190951529361884,0.29478326141105704,4.834594881973113e-5,0.0228737461174382,1
0.2721313484199281,0.29209402303971693,3.6823320779817513e-5,0.019962674619788845,1
0.27289065939614515,0.2936720171255976,3.990555284057202e-5,0.020781357729452443,1
0.26704420030603515,0.28543860234200336,3.126488559522692e-5,0.018394402035968205,1
0.26999203038217623,0.28997248883595894,3.688895842894654e-5,0.019980458453782712,1
0.27160670509201496,0.29292635560703856,4.199964866529137e-5,0.021319650515023603,1
0.2704501881319386,0.2912955643503696,4.0151795476633026e-5,0.020845376218430967,1
0.26959164060121193,0.2912035380524867,4.3158991841121945e-5,0.021611897451274786,1
0.26908142773207855,0.289794159931978,3.9642430667241944e-5,0.020712732199899442,1
0.27066170119512545,0.29322703801731786,4.705103009232943e-5,0.022565336822192417,1
0.2719610101658432,0.2962902305015217,5.469427604701852e-5,0.024329220335678525,1
0.2737764839522391,0.29504083153403515,4.178203804072895e-5,0.021264347581796073,1
0.2696871501075293,0.29209591923550127,4.64003759642667e-5,0.02240876912797196,1
0.2720187555382105,0.29271560253830436,3.9581648106305954e-5,0.020696847000093888,1
0.2696536945631277,0.2916847724957794,4.4849436269436305e-5,0.022031077932651688,1
0.2710939990145742,0.29371817194371097,4.729670853675333e-5,0.022624172929136765,1
0.27143859457994407,0.29107408082588787,3.5626143754134804e-5,0.0196354862459438,1
0.26946702393018124,0.2932737240923015,5.237015984267301e-5,0.023806700162120276,1
0.2703566379994224,0.2898458698637006,3.50973995709295e-5,0.0194892318642782,1
0.270960181464264,0.29314579304936156,4.548082203778368e-5,0.022185611585097575,1
0.27040028530647375,0.2916693856427177,4.18007173779125e-5,0.021269100336243962,1
0.2687429138257177,0.2903597760012635,4.317882324244329e-5,0.021616862175545815,1
0.27159226847654266,0.2914855400022616,3.65677227801445e-5,0.01989327152571896,1
0.2713223339147095,0.2882020049828493,2.6327732320959736e-5,0.016879671068139812,1
0.2686691049702357,0.2871882120655726,3.1690243885144335e-5,0.018519107095336884,1
0.268137194008622,0.2902824477111674,4.5315504063311065e-5,0.022145253702545387,1
0.27106178966214445,0.2877002642044193,2.5580704929620833e-5,0.01663847454227485,1
0.2697008438411205,0.2911519674873464,4.25192492278344e-5,0.021451123646225922,1
0.27158809558984093,0.29000002376761297,3.1324492193083125e-5,0.01841192817777204,1
0.2720586678998276,0.2925751052541805,3.889460739190228e-5,0.020516437354352934,1
0.27140107725056556,0.29463671306677836,4.9887830388237195e-5,0.023235635816212796,1
0.27034364441203945,0.288057904267411,2.899556110886284e-5,0.01771425985537156,1
0.27425229531437256,0.290644179308295,2.4828085875268803e-5,0.01639188399392244,1
0.27288159108536386,0.29589616662228374,4.894309554914235e-5,0.02301457553691988,1
0.2682334359834538,0.2863732812747553,3.0405535225673705e-5,0.018139845291301526,1
0.2743644632733578,0.2945660020326479,3.770981460539393e-5,0.020201538759290094,1
0.269185898619513,0.2908273482036626,4.327710384713453e-5,0.021641449584149597,1
0.27064444449982117,0.2903979021820793,3.605551869940528e-5,0.019753457682258113,1
0.2707561614362683,0.2856593553312547,2.0523158474442268e-5,0.0149031938949864,1
0.27011867484921265,0.29063203153063416,3.88829277258745e-5,0.020513356681421513,1
0.27314589845366544,0.2942673952212316,4.1222552259049105e-5,0.02112149676756614,1
0.26957429656527504,0.29105005926974464,4.261698172326078e-5,0.021475762704469603,1
0.27038003266246124,0.29026134272474213,3.65237609836049e-5,0.019881310062280888,1
0.2672766458410669,0.2878838858561714,3.9239652610025206e-5,0.0206072400151045,1
0.2717556445121173,0.2883497282388474,2.544439032321836e-5,0.016594083726730102,1
0.2729821999506424,0.29341667989143266,3.858448196595062e-5,0.020434479940790284,1
0.2720644612638907,0.29188918864511615,3.631616183663479e-5,0.019824727381225427,1
0.27282114646393213,0.2923290513961719,3.5164686993776466e-5,0.01950790493223975,1
0.2701625852194028,0.29018658696927996,3.7049917408658214e-5,0.020024001749877174,1
0.26756847189049354,0.28517506458619973,2.864416258804261e-5,0.01760659269570619,1
0.2719650877467504,0.2958552513621178,5.273801061161028e-5,0.023890163615367443,1
0.2685851428711674,0.2887265877238947,3.748579607374048e-5,0.020141444852727286,1
0.27029591840581707,0.2912531933778098,4.0584025141684466e-5,0.020957274971992734,1
0.27033676285212865,0.2879620732580693,2.8705098640674503e-5,0.01762531040594062,1
0.27007608683973855,0.2894135728954252,3.4552981064473425e-5,0.019337486055686637,1
0.2681951431819597,0.2904122868583342,4.561019639044204e-5,0.022217143676374507,1
0.27059565201022806,0.29046938309279025,3.649591975173571e-5,0.019873731082562185,1
0.27224569454154957,0.29255891383329435,3.812791080567529e-5,0.02031321929174479,1
0.2696787069701167,0.2890133821182869,3.454293651423363e-5,0.01933467514817022,1
0.27033638561108975,0.28783734614993406,2.8301487758268964e-5,0.017500960538844312,1
0.27255786703371054,0.29515888508364196,4.719994573734469e-5,0.02260101804993142,1
0.26961854749409514,0.29172507043191637,4.515713429594597e-5,0.022106522937821227,1
0.2709734865229216,0.2909232488143069,3.677569980259751e-5,0.019949762291385342,1
0.2703992244689234,0.28746435456798247,2.6909442616509338e-5,0.017065130099059078,1
0.2725223765868536,0.29105217710419456,3.172685202049818e-5,0.01852980051734099,1
0.2713927062888499,0.2928055123149954,4.2367482697356365e-5,0.02141280602614548,1
0.2674961863844074,0.290253957408542,4.7856941754434395e-5,0.022757771024134565,1
0.27062769356747635,0.2892874599475342,3.21734696989696e-5,0.01865976638005784,1
0.26646665619505205,0.28937662892498395,4.849920721950782e-5,0.022909972729931893,1
0.269754733498838,0.2881456733715739,3.125311745507254e-5,0.01839093987273588,1
0.2688086476554613,0.2909287993950177,4.521283073834376e-5,0.022120151739556393,1
0.26958545284479163,0.2925589012846802,4.876832900441088e-5,0.022973448439888577,1
0.2719686898821574,0.2896908626447301,2.9021471356434348e-5,0.017722172762572708,1
0.2748046182508421,0.2945408889840506,3.5992804131909264e-5,0.019736270733208494,1
0.2705557532473242,0.2882193702240628,2.8830008646566478e-5,0.017663616976738572,1
0.2700084872679542,0.2935063659717218,5.102027678960205e-5,0.023497878703767627,1
0.26844874586422113,0.2881212259651979,3.5760511694749584e-5,0.019672480100976775,1
0.2727998672038299,0.2946999869543448,4.4317828675131156e-5,0.021900119750514868,1
0.2653192983413858,0.2888097274686954,5.0987931809955827e-5,0.023490429127309587,1
0.2656790152279294,0.28884545849829163,4.959115450414652e-5,0.023166443270362214,1
0.271458475397918,0.289615128603981,3.0461907306110748e-5,0.018156653206062967,1
0.27211725914409884,0.29107545154246556,3.32108008161392e-5,0.018958192398366713,1
0.2728153522593418,0.2959657645985348,4.9522545152934125e-5,0.023150412339193016,1
0.27102469275896623,0.2926368327860265,4.315996069497869e-5,0.021612140027060245,1
0.27342175680205943,0.2958235495253693,4.637148928974876e-5,0.022401792723309888,1
0.2685026048179835,0.29017082284951856,4.338422951139795e-5,0.02166821803153507,1
0.26947114748818374,0.2920050836701021,4.692017412270157e-5,0.022533936181918346,1
0.2673014461698682,0.29169661717928874,5.499120404793619e-5,0.02439517100942057,1
0.2690005302529866,0.2913189628523514,4.6027022125480476e-5,0.022318432599364835,1
0.2685002062684773,0.28927412268465963,3.987697948569973e-5,0.020773916416182314,1
0.2716910317368634,0.2926865049288937,4.0732102628956395e-5,0.020995473192030323,1
0.2728021812329575,0.2956119764088371,4.8075993307187075e-5,0.022809795175879555,1
0.2713738841312809,0.2918995701108286,3.8929681973252785e-5,0.020525685979547736,1
0.2677045824968081,0.2888100988771734,4.116019842590167e-5,0.021105516380365286,1
0.2702090473126551,0.29073478716478435,3.8929886326493156e-5,0.020525739852129243,1
0.26882255594449145,0.2877902771737356,3.324419425658491e-5,0.018967721229244172,1
0.2703442551476635,0.2944068412845901,5.350200998625249e-5,0.024062586136926578,1
0.2700931573151043,0.290880017635754,3.9926688419671926e-5,0.02078686032064969,1
0.2709064330341608,0.29005012201802655,3.386388299883299e-5,0.01914368898386576,1
0.27481075489011325,0.293638032762134,3.2753714557210585e-5,0.018827277872020765,1
0.2744638834241352,0.2952815733505848,4.004520914437697e-5,0.020817689926449612,1
0.2660613972930229,0.2875220378337763,4.2556985337111705e-5,0.021460640540753362,1
0.2687472870062769,0.2894959183887469,3.9779965795222916e-5,0.020748631382469962,1
0.26780806278906316,0.29005683238757657,4.574014029403549e-5,0.022248769598513407,1
0.2723247685733219,0.29233455364802363,3.699732655648914e-5,0.020009785074701747,1
0.27260669099580515,0.29573934325497886,4.944659082575816e-5,0.023132652259173714,1
0.27020531454197283,0.2904133753103929,3.773416754792924e-5,0.020208060768420077,1
0.27193602076733536,0.29024680427016303,3.098127956325221e-5,0.018310783502827666,1
0.2685286819564228,0.29191209378457,5.052441016028228e-5,0.023383411828147183,1
0.2708585052302777,0.29289287775888534,4.48628511209581e-5,0.022034372528607626,1
0.2664741083273863,0.28869835114091763,4.5639349082265665e-5,0.022224242813531303,1
0.26806498316725896,0.2933452706951731,5.905402632940587e-5,0.025280287527914114,1
0.2678507609503343,0.2881326873577505,3.8010527808486306e-5,0.020281926407416218,1
0.2713903199332525,0.29213679827967837,3.9771710479015825e-5,0.020746478346425845,1
0.27043648679607935,0.29085945014627324,3.854100285951754e-5,0.02042296335019389,1
0.2723521054484619,0.2932308431568714,4.028041830530428e-5,0.020878737708409534,1
0.26985452255067605,0.2936242949987425,5.220781811668987e-5,0.02376977244806644,1
0.2758515822756954,0.2963481644043723,3.881936162600439e-5,0.020496582128676888,1
0.2727122866145837,0.29306516567838403,3.8276938923180494e-5,0.020352879063800344,1
0.267915504471299,0.2908456531283086,4.858466758653087e-5,0.022930148657009597,1
0.2699032005101618,0.2945884336123087,5.6306685112091996e-5,0.024685233102146875,1
0.2695997306809155,0.2913941924100757,4.389123387990841e-5,0.02179446172916022,1
0.27083079465131965,0.28803940239233095,2.7363835159968297e-5,0.017208607741011295,1
0.2719631198073086,0.2904348032488686,3.152814720539046e-5,0.018471683441560027,1
0.2696612822788051,0.2887921585180097,3.381856842160121e-5,0.01913087623920462,1
0.2712992723749134,0.2898752387516778,3.188513996220893e-5,0.018575966376764397,1
0.271562464310027,0.29288531582037874,4.201226151480588e-5,0.021322851510351737,1
0.2706196680018864,0.2932046377440669,4.713293899263506e-5,0.022584969742180494,1
0.26992115443220754,0.29257527909588976,4.742202195096916e-5,0.022654124663682218,1
0.27213087950100684,0.28864944185945757,2.5213317307562536e-5,0.016518562358450728,1
0.2662637205460513,0.2882080553355143,4.449695943924881e-5,0.021944334789463005,1
0.2722442618101276,0.2945795115432447,4.6096411784254475e-5,0.02233524973311707,1
0.27233340257566424,0.2930344105732318,3.9597565090544345e-5,0.020701007997567578,1
0.2681797146679698,0.29132586461817606,4.95043109274839e-5,0.023146149950206252,1
0.2729795788656908,0.29294482215332573,3.6832797762966014e-5,0.019965243287634937,1
0.2734540405463293,0.29338083927544917,3.669108575855537e-5,0.019926798729119843,1
0.2739720764338537,0.2969915514611208,4.896393640701478e-5,0.02301947502726709,1
0.271879565654486,0.2931365203307926,4.1752990644686653e-5,0.021256954676306616,1
0.26651090197200705,0.290180357725453,5.176807776052252e-5,0.023669455753445923,1
0.26744724361013417,0.2883886507524491,4.052259190629278e-5,0.02094140714231496,1
0.2701920771250078,0.2902557670699817,3.71969311376887e-5,0.020063689944973873,1
0.271513594837691,0.294065208395458,4.699381868077409e-5,0.022551613557767025,1
0.2710391325359721,0.294196146638791,4.955079369973046e-5,0.023157014102818896,1
0.27194740253269284,0.2918696333079474,3.6674265798772926e-5,0.019922230775254568,1
0.2689492719863893,0.28870357205597685,3.605859394427853e-5,0.01975430006958756,1
0.2693238126217123,0.29098612300487464,4.336057608187221e-5,0.021662310383162353,1
0.2736778811354921,0.2926126409877695,3.312875368169677e-5,0.01893475985227744,1
0.2684040133931016,0.28955447762177655,4.1335700634498474e-5,0.021150464228674948,1
0.2715703947822221,0.2909437420396661,3.4681256310019435e-5,0.019373347257443996,1
