Izq,Der,varianzaBoots,longitud,exito
0.10385799566658535,0.11279331834000045,7.3774449230515185e-6,0.008935322673415097,1
0.10147311100216792,0.10889395319949195,5.088524713420021e-6,0.007420842197324029,1
0.10379914626283769,0.11264565063379069,7.2315082822664e-6,0.008846504370952996,1
0.10225847487271549,0.11004301936756485,5.599534254435999e-6,0.00778454449484936,1
0.10209543729878197,0.10925718921875864,4.739407390190898e-6,0.007161751919976672,1
0.09782586093128377,0.10706386999806967,7.885736541103908e-6,0.009238009066785902,1
0.10182072683511312,0.10973462267664019,5.787168867657275e-6,0.007913895841527074,1
0.10349534046403955,0.11183741779549458,6.430339725151733e-6,0.008342077331455033,1
0.1049277572296516,0.11310661655526484,6.18117404166184e-6,0.008178859325613241,1
0.10219808846857958,0.1106283723742848,6.567043547499988e-6,0.008430283905705216,1
0.10182149530321628,0.10939140481405095,5.295011055494617e-6,0.007569909510834666,1
0.10053649896068914,0.11029719915617883,8.803339321904005e-6,0.009760700195489691,1
0.10265145427863669,0.11201141011271791,8.095302727751117e-6,0.009359955834081224,1
0.10124926767265881,0.11126510453968343,9.269578353565044e-6,0.010015836867024619,1
0.10047481428807836,0.10900372082928383,6.721592909412226e-6,0.008528906541205472,1
0.10178149972717368,0.11013511081753935,6.44813319699684e-6,0.00835361109036567,1
0.10047866771828622,0.1094179935904155,7.3840568820985966e-6,0.008939325872129283,1
0.10042337178915432,0.10911013997817369,6.9727157269950924e-6,0.008686768189019367,1
0.10260146603107491,0.11172406120772678,7.689928490253824e-6,0.009122595176651871,1
0.10292013916783456,0.11219543376393033,7.949520244642279e-6,0.009275294596095773,1
0.1029570156309922,0.11163988000341878,6.9664500856410805e-6,0.008682864372426574,1
0.10059166794053394,0.10880505802768796,6.23347747581407e-6,0.008213390087154021,1
0.10447026727250817,0.1122428752649209,5.582375225970725e-6,0.007772607992412722,1
0.10182305794706734,0.11147832582300254,8.614184112895332e-6,0.009655267875935208,1
0.10207816582731825,0.11013780009422004,6.0022788044570385e-6,0.008059634266901788,1
0.09986890343384282,0.10980786161336518,9.127823242384631e-6,0.009938958179522367,1
0.10294463706490922,0.11165224638246812,7.006213475564875e-6,0.008707609317558901,1
0.10352928693941947,0.11132831808364772,5.620394554795536e-6,0.007799031144228252,1
0.09936896589901492,0.1094132118626589,9.322237721359167e-6,0.010044245963643977,1
0.1052721747348516,0.11316413486232214,5.755131613142837e-6,0.007891960127470538,1
0.10405932695151264,0.11254443053810241,6.652728379410807e-6,0.00848510358658977,1
0.09946363020529007,0.1095227182264182,9.349808414982017e-6,0.01005908802112812,1
0.10374233367142491,0.1121488897911887,6.530128511497753e-6,0.008406556119763792,1
0.10213055067711058,0.10996965635372477,5.678302608308227e-6,0.007839105676614194,1
0.10204583988016101,0.11047569504609249,6.566375602932359e-6,0.008429855165931477,1
0.10232409950185958,0.1118744012743502,8.427906028230164e-6,0.00955030177249061,1
0.10342412033698072,0.11252486858322382,7.653140676425457e-6,0.009100748246243101,1
