"","Izq","Der","longitud","exito"
"1",0.10323875617926,0.106112384392133,0.00287362821287308,1
"2",0.10455017628631,0.107452040512603,0.00290186422629289,1
"3",0.105685540533912,0.108376823670932,0.00269128313702005,1
"4",0.104963792880558,0.107707540948472,0.0027437480679134,1
"5",0.10439663039804,0.107096203896568,0.00269957349852797,1
"6",0.10383392719888,0.106642425127735,0.00280849792885474,1
"7",0.104368100896067,0.107291246065772,0.00292314516970496,1
"8",0.103439796282587,0.106353265876456,0.00291346959386858,1
"9",0.104100799147415,0.107012027718224,0.00291122857080958,1
"10",0.104474418983151,0.107366183323881,0.00289176434073002,1
"11",0.104258989509894,0.107144347317131,0.00288535780723692,1
"12",0.103823181521746,0.106768181982586,0.00294500046084017,1
"13",0.104807349108319,0.107932039325351,0.00312469021703214,1
"14",0.104386310934501,0.107103605643849,0.00271729470934827,1
"15",0.105405930142648,0.108156516098882,0.00275058595623437,1
"16",0.103533306316409,0.106445732492623,0.002912426176214,1
"17",0.105362342704724,0.108460349064583,0.00309800635985881,1
"18",0.105488436226319,0.10837723600561,0.00288879977929098,1
"19",0.103972279603587,0.106599344030078,0.00262706442649037,1
"20",0.104305272605673,0.107113097587518,0.00280782498184544,1
"21",0.105304952096387,0.108217293971279,0.00291234187489153,1
"22",0.103980408081347,0.106734132689248,0.00275372460790183,1
"23",0.104706368841922,0.107608995200885,0.00290262635896324,1
"24",0.104769444347829,0.107509703710191,0.0027402593623622,1
"25",0.104680712443433,0.107576224747183,0.00289551230374947,1
"26",0.105019289090919,0.107998399881891,0.0029791107909721,1
"27",0.10521632779561,0.107977333428464,0.00276100563285336,1
"28",0.104905643338914,0.107789776415574,0.00288413307665975,1
"29",0.105313857991294,0.108081897357276,0.00276803936598202,1
"30",0.105165878769774,0.108098074630747,0.00293219586097353,1
"31",0.104640744620606,0.107451166141201,0.00281042152059569,1
"32",0.103402021880693,0.106187401277637,0.00278537939694389,1
"33",0.105012848182502,0.107730843494657,0.00271799531215493,1
"34",0.104638660635685,0.107390051748687,0.00275139111300132,1
"35",0.105638143615532,0.108428541297208,0.00279039768167622,1
"36",0.10476344826007,0.107558074229236,0.00279462596916627,1
"37",0.104518819660958,0.107396972555685,0.00287815289472718,1
"38",0.104640767484557,0.107502043679242,0.00286127619468488,1
"39",0.10500015884034,0.107807212359878,0.00280705351953812,1
"40",0.104966434296151,0.107932290659945,0.00296585636379391,1
"41",0.105218163361452,0.107968596357561,0.00275043299610894,1
"42",0.103376267028128,0.106228245554112,0.00285197852598353,1
"43",0.104296805211201,0.107181827324435,0.00288502211323316,1
"44",0.105298921245911,0.108171183698533,0.00287226245262202,1
"45",0.104107085308706,0.107031328124926,0.00292424281622058,1
"46",0.105167351327431,0.108153203260399,0.00298585193296835,1
"47",0.104912263187744,0.107737170095748,0.00282490690800306,1
"48",0.105776619557211,0.108781147983578,0.00300452842636668,1
"49",0.10471073622258,0.107622751978695,0.00291201575611494,1
"50",0.103365825428202,0.106333282917551,0.00296745748934854,1
"51",0.10488412982548,0.107665450724554,0.00278132089907418,1
"52",0.10496141699287,0.107612022788224,0.00265060579535396,1
"53",0.105395326053846,0.108209482154293,0.00281415610044694,1
"54",0.104015918223637,0.106785044754989,0.00276912653135235,1
"55",0.105379269256941,0.108172085284027,0.00279281602708635,1
"56",0.104378436176375,0.107353485050749,0.002975048874374,1
"57",0.103328088122162,0.106194183038538,0.0028660949163756,1
"58",0.104974230190881,0.107785914161107,0.00281168397022542,1
"59",0.105890830008802,0.108812988802459,0.00292215879365716,1
"60",0.104325619127166,0.107083195414221,0.00275757628705546,1
"61",0.104542055635831,0.107451427237647,0.00290937160181653,1
"62",0.105426757219645,0.108181360208342,0.00275460298869612,1
"63",0.104085903892245,0.106985919620591,0.00290001572834621,1
"64",0.103438629215144,0.106350903839355,0.0029122746242104,1
"65",0.104156702811815,0.106937305702249,0.00278060289043448,1
"66",0.10472690164292,0.107475211309931,0.00274830966701128,1
"67",0.104229819158922,0.106922060803312,0.00269224164439086,1
"68",0.103539261888173,0.106375461336505,0.00283619944833145,1
"69",0.104830867622863,0.10779499272917,0.00296412510630764,1
"70",0.105198540319294,0.108002763746218,0.00280422342692394,1
"71",0.104930861449527,0.107753891881207,0.00282303043168002,1
"72",0.105383861310449,0.108507351961752,0.00312349065130302,1
"73",0.104456174077686,0.107266936340956,0.0028107622632703,1
"74",0.10481825756587,0.107540524375727,0.00272226680985777,1
"75",0.105759775375684,0.108527961089479,0.00276818571379468,1
"76",0.10474307768398,0.107500755013596,0.00275767732961597,1
"77",0.103975077855983,0.106634816449619,0.00265973859363586,1
"78",0.104095253725319,0.106748040151129,0.00265278642581007,1
"79",0.1056032259413,0.108415794827648,0.00281256888634826,1
"80",0.104214757810784,0.107224529686052,0.00300977187526807,1
"81",0.104554058112768,0.107364219234286,0.0028101611215183,1
"82",0.104337862970049,0.10726829855582,0.00293043558577064,1
"83",0.104025621431884,0.106867793284351,0.00284217185246648,1
"84",0.105918482328252,0.108785012985728,0.00286653065747548,1
"85",0.104589340897322,0.107493365455541,0.00290402455821868,1
"86",0.105193329273962,0.108121972891025,0.00292864361706288,1
"87",0.104370722764983,0.107370070629273,0.00299934786429001,1
"88",0.105946447325229,0.108918131486852,0.00297168416162387,1
"89",0.104905932999812,0.107854221537564,0.00294828853775175,1
"90",0.104357304508406,0.107347922566238,0.00299061805783125,1
"91",0.104101611096955,0.107020452814198,0.00291884171724226,1
"92",0.105166488896335,0.108121361041755,0.0029548721454194,1
