Izq,Der,estimador,varEst,longitud,exito
0.2668745040653556,0.2907182299979667,0.27879636703166116,3.699917745355002e-5,0.023843725932611082,0
0.26070400267069277,0.2843000090713054,0.2725020058709991,3.623438022154478e-5,0.023596006400612657,0
0.2664427886205284,0.2911283524270435,0.27878557052378594,3.965791961394863e-5,0.0246855638065151,0
0.25686087294423504,0.2792061651566948,0.2680335190504649,3.249495226724781e-5,0.022345292212459733,0
0.27843101901151573,0.30334608893198817,0.29088855397175195,4.039876112936326e-5,0.024915069920472432,0
0.26556794270825534,0.28848995486763107,0.2770289487879432,3.419395247738389e-5,0.022922012159375726,0
0.2630346681017971,0.28565667750897905,0.2743456728053881,3.330475045455234e-5,0.022622009407181953,0
0.2715490420513596,0.2959136909081162,0.2837313664797379,3.8633507582790334e-5,0.0243646488567566,0
0.2733174955447022,0.2983846321148723,0.28585106382978726,4.089340567979993e-5,0.025067136570170123,0
0.2732213778430583,0.2969967277686982,0.2851090528058782,3.6787278640181036e-5,0.0237753499256399,0
0.2698291693898946,0.2940096456382639,0.28191940751407923,3.805165295851718e-5,0.024180476248369276,0
0.27172975402387467,0.29507202119995235,0.2834008876119135,3.5459278776086167e-5,0.02334226717607768,0
0.2710953918486027,0.29532739869849994,0.2832113952735513,3.821400823108162e-5,0.024232006849897236,0
0.2685503451123351,0.2918891447609038,0.28021974493661944,3.544874450441243e-5,0.023338799648568664,0
0.2706201424274645,0.29676891711961656,0.28369452977354054,4.44986169197943e-5,0.026148774692152044,0
0.26850048952340144,0.2922666280434342,0.2803835587834178,3.6758778794570116e-5,0.02376613852003273,0
0.2767361498467167,0.30055047381677524,0.28864331183174596,3.6907985522049165e-5,0.02381432397005856,0
0.26111897544958707,0.28550515474597404,0.27331206509778055,3.8701816707752555e-5,0.02438617929638698,0
0.2751346261962724,0.29961187837083536,0.28737325228355387,3.899142890648545e-5,0.02447725217456298,0
0.2635800428532992,0.2883542879807966,0.2759671654170479,3.994336854081021e-5,0.024774245127497374,0
0.26704404176180707,0.2914647604473748,0.27925440110459093,3.881152505832907e-5,0.02442071868556772,0
0.2708726201563352,0.295778879006225,0.2833257495812801,4.037019260469556e-5,0.02490625884988984,0
0.26405591714459364,0.2870087774768628,0.27553234731072823,3.428605004136545e-5,0.022952860332269176,0
0.2693697411282939,0.2936770735388029,0.2815234073335484,3.8451955135641695e-5,0.024307332410508975,0
0.2736635325260693,0.2980802675129856,0.28587190001952745,3.8798863612026113e-05,0.024416734986916322,0
0.2692483359433124,0.29402213565087526,0.2816352357970938,3.994193225788256e-5,0.024773799707562882,0
0.2717835042224589,0.29718033620079687,0.2844819202116279,4.1976180446168464e-5,0.025396831978337975,0
0.27244653805060787,0.2970826375209225,0.2847645877857652,3.949914768327319e-5,0.024636099470314643,0
0.27452918471066423,0.2989531390167095,0.28674116186368687,3.882181039728007e-5,0.02442395430604527,0
0.2672912067327229,0.28936839130287295,0.2783297990177979,3.1719855743267e-5,0.022077184570150066,0
0.2717156691141563,0.2958670566289732,0.28379136287156476,3.796015694276378e-5,0.024151387514816935,0
0.27444887245470506,0.2999239427635698,0.28718640760913744,4.2235205265348845e-5,0.025475070308864756,0
0.2711285542582483,0.295679346139379,0.28340395019881365,3.92260733567933e-5,0.02455079188113074,0
0.2649904320011669,0.2895807790258156,0.27728560551349124,3.9352573788841804e-5,0.024590347024648684,0
0.2682672823100252,0.2925392337737717,0.2804032580418985,3.834009782200496e-5,0.0242719514637465,0
0.27049471176280904,0.29526641738107295,0.282880564571941,3.993518008915205e-5,0.024771705618263917,0
0.2558072376369048,0.2782495133018337,0.26702837546936925,3.277763478209383e-5,0.022442275664928846,0
0.27024946293231,0.2940969065400798,0.2821731847361949,3.7010716056758456e-5,0.023847443607769803,0
0.27340313272301375,0.2988069329225004,0.28610503282275707,4.199921792073418e-5,0.025403800199486626,0
0.26902386005421863,0.2923701702725804,0.2806970151633995,3.547156342505692e-5,0.023346310218361754,0
0.27785158955170974,0.30330348383693095,0.29057753669432035,4.2158393005305076e-5,0.02545189428522121,0
0.26786775176737837,0.2911888268331741,0.27952828930027623,3.539492206024775e-5,0.023321075065795727,0
0.2642538229929179,0.2860663448325592,0.27516008391273855,3.096389491680529e-5,0.02181252183964133,0
0.2767830469853441,0.3016175771243677,0.2892003120548559,4.013799939124625e-5,0.024834530139023592,0
0.2725544320616967,0.2978101563534332,0.28518229420756497,4.1511027403448335e-5,0.025255724291736503,0
0.26024026383520177,0.2828508085415427,0.27154553618837224,3.3271001706655515e-5,0.02261054470634094,0
0.2703539802697076,0.2948629927237212,0.2826084864967144,3.909268063964662e-5,0.0245090124540136,0
0.2795727825002945,0.3044907576987729,0.2920317700995337,4.040818325626298e-5,0.02491797519847838,0
0.27259873484282743,0.29546066337957083,0.28402969911119913,3.4014927714669764e-5,0.022861928536743403,0
0.2644420002648001,0.2878815747736601,0.2761617875192301,3.575553447278163e-5,0.023439574508860028,0
0.2776821265765106,0.3022158870303475,0.28994900680342905,3.917166824513106e-5,0.024533760453836928,0
0.2609055018810028,0.2834350540113927,0.27217027794619775,3.303307043548088e-5,0.022529552130389874,0
0.2704030223463933,0.29464797743039167,0.2825254998883925,3.8254858015039514e-5,0.024244955083998376,0
0.25423331530780896,0.27665907357112646,0.2654461944394677,3.2729404189856766e-5,0.022425758263317497,0
0.2724831222850066,0.29632498857636813,0.28440405543068736,3.699340633257452e-5,0.023841866291361535,0
0.2670571128234167,0.2888668187866108,0.27796196580501376,3.095590089620133e-5,0.021809705963194093,0
